date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
1984-01-01,85070.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1985-01-01,88440.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1986-01-01,78440.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1987-01-01,80410.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1988-01-01,77240.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1989-01-01,80480.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1990-01-01,83770.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1991-01-01,83530.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1992-01-01,83850.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1993-01-01,84030.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1994-01-01,86900.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1995-01-01,89740.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1996-01-01,96220.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1997-01-01,85660.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1998-01-01,89260.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
1999-01-01,88670.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2000-01-01,88130.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2001-01-01,93550.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2002-01-01,85010.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2003-01-01,81790.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2004-01-01,84760.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2005-01-01,83620.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2006-01-01,82020.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2007-01-01,89290.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2008-01-01,87500.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2009-01-01,84570.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2010-01-01,78340.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2011-01-01,75440.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2012-01-01,82020.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2013-01-01,92270.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2014-01-01,84900.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2015-01-01,94360.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
2016-01-01,94290.0,2024-12-20,2024-12-20,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2023 C-CPI-U $,NSA
