date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
1989-01-01,10.6,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1990-01-01,,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1991-01-01,,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1992-01-01,,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1993-01-01,11.2,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1994-01-01,,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1995-01-01,10.1,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1996-01-01,10.6,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1997-01-01,11.2,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1998-01-01,10.8,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
1999-01-01,8.8,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
2000-01-01,8.5,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
2001-01-01,8.7,2024-12-20,2024-12-20,Alaska,PPAAAK02000A156NCEN,Estimated Percent of People of All Ages in Poverty for Alaska,A,%,NSA
