date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
1997-01-01,41071.0,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
1998-01-01,40263.7,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
1999-01-01,39783.1,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2000-01-01,38428.1,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2001-01-01,40014.4,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2002-01-01,41904.7,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2003-01-01,41235.0,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2004-01-01,42880.1,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2005-01-01,44406.8,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2006-01-01,47546.2,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2007-01-01,50126.7,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2008-01-01,49926.6,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2009-01-01,54951.9,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2010-01-01,53652.0,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2011-01-01,54045.5,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2012-01-01,57087.4,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2013-01-01,54627.6,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2014-01-01,53303.3,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2015-01-01,53681.1,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
